numUAVs;GroundFormation;AirFormation;TakeoffStrategy;altitude;setupTime;calculationTime;totalDistance;takeoffTime;numberCollisions;fullTime
25;Random;Regular matrix;Hungarian;10.0;2249;4619;377.6117;32314;0;39190;
50;Random;Regular matrix;Hungarian;10.0;2451;5634;812.6885;40088;0;48178;
75;Random;Regular matrix;Hungarian;10.0;2446;3423;1157.9306;42072;0;47945;
100;Random;Regular matrix;Hungarian;10.0;2724;4869;1551.7079;47275;0;54893;
125;Random;Regular matrix;Hungarian;10.0;2495;4872;1925.3095;51282;1;58653;
150;Random;Regular matrix;Hungarian;10.0;2988;3857;2281.3835;53343;0;60202;
175;Random;Regular matrix;Hungarian;10.0;4893;4907;2661.7190;55695;0;65498;
200;Random;Regular matrix;Hungarian;10.0;5598;5134;3034.3039;57128;1;67872;
25;Random;Circle;Hungarian;10.0;2127;5415;817.0618;38083;0;45629;
50;Random;Circle;Hungarian;10.0;3633;5044;2483.6917;57703;0;66390;
75;Random;Circle;Hungarian;10.0;2858;3854;4693.5479;77703;0;84586;
100;Random;Circle;Hungarian;10.0;2699;4441;7344.8804;97739;0;104883;
125;Random;Circle;Hungarian;10.0;2932;3928;10362.4695;118546;0;125433;
150;Random;Circle;Hungarian;10.0;3733;4823;13720.0360;137521;0;146080;
175;Random;Circle;Hungarian;10.0;5031;5110;17382.0192;158130;0;168275;
200;Random;Circle;Hungarian;10.0;5340;5684;21324.2349;176765;0;187792;
25;Random;Linear;Hungarian;10.0;2102;5632;1716.1633;76924;9;84664;
50;Random;Linear;Hungarian;10.0;2240;4027;4921.1819;139133;38;145438;
75;Random;Linear;Hungarian;10.0;2272;4650;9095.1419;198338;80;205292;
100;Random;Linear;Hungarian;10.0;3039;4621;14059.1805;261838;125;269502;
125;Random;Linear;Hungarian;10.0;2755;4439;19706.6789;321824;190;329022;
150;Random;Linear;Hungarian;10.0;3618;4831;25963.1818;384884;265;393370;
175;Random;Linear;Hungarian;10.0;4194;5861;32756.3813;445466;343;455526;
25;Random;Compact matrix;Simplified;10.0;2108;6041;382.5253;31233;0;39393;
50;Random;Compact matrix;Simplified;10.0;2646;4033;749.1312;34906;0;41613;
75;Random;Compact matrix;Simplified;10.0;2285;3631;1119.6038;38913;4;44856;
100;Random;Compact matrix;Simplified;10.0;2202;3823;1480.5295;40271;6;46301;
125;Random;Compact matrix;Simplified;10.0;2583;3819;1843.4386;43279;1;49685;
150;Random;Compact matrix;Simplified;10.0;3757;4435;2201.3386;46075;0;54272;
175;Random;Compact matrix;Simplified;10.0;4423;5276;2559.1355;47103;17;56807;
200;Random;Compact matrix;Simplified;10.0;5873;4330;2919.3281;48326;21;58565;
25;Random;Circle;Simplified;10.0;2072;4239;820.1943;38304;1;44636;
50;Random;Circle;Simplified;10.0;2260;4813;2497.1852;58690;6;65769;
75;Random;Circle;Simplified;10.0;2468;4243;4712.2572;79693;15;86410;
100;Random;Circle;Simplified;10.0;2898;3665;7364.8206;98962;0;105601;
125;Random;Circle;Simplified;10.0;2607;4422;10378.9589;118532;15;125564;
150;Random;Circle;Simplified;10.0;3234;4311;13749.9408;138546;32;146103;
175;Random;Circle;Simplified;10.0;5526;4227;17409.5472;158772;33;168565;
200;Random;Circle;Simplified;10.0;5763;4416;21354.6121;177046;46;187227;
25;Random;Linear;Simplified;10.0;2094;6626;1716.3032;76897;9;85624;
50;Random;Linear;Simplified;10.0;2650;4837;4921.5528;139109;42;146631;
75;Random;Linear;Simplified;10.0;2462;4051;9095.4059;197976;88;204540;
100;Random;Linear;Simplified;10.0;2499;4017;14059.5356;261980;157;268613;
125;Random;Linear;Simplified;10.0;2662;4460;19707.0454;321624;217;328866;
150;Random;Linear;Simplified;10.0;3689;4349;25963.4863;385902;344;393973;
175;Random;Linear;Simplified;10.0;3799;4588;32756.8440;445057;362;453447;
200;Random;Linear;Simplified;10.0;4602;4340;40074.5239;506779;497;515725;

25;Random;Regular matrix;Simplified;10.0;2299;4833;381.6369;30315;0;37470;
50;Random;Regular matrix;Simplified;10.0;2266;3640;819.8095;39100;1;45079;
75;Random;Regular matrix;Simplified;10.0;3281;5015;1169.2025;42435;3;50737;
100;Random;Regular matrix;Simplified;10.0;2480;4459;1560.9325;47893;0;54837;
125;Random;Regular matrix;Simplified;10.0;2542;4138;1936.4379;50315;4;57014;
150;Random;Regular matrix;Simplified;10.0;3275;4230;2294.2198;52553;6;60064;
175;Random;Regular matrix;Simplified;10.0;4991;4272;2675.8935;56029;25;65296;
200;Random;Regular matrix;Simplified;10.0;5902;5906;3050.3493;56178;8;68048;
