numUAVs;GroundFormation;AirFormation;TakeoffStrategy;altitude;setupTime;calculationTime;totalDistance;takeoffTime;numberCollisions;fullTime
25;Random;Compact matrix;Simplified;10.0;2093;4233;382.5253;250719;0;257049;
50;Random;Compact matrix;Simplified;10.0;2241;3836;749.1312;489439;0;495520;
75;Random;Compact matrix;Simplified;10.0;2442;3817;1119.6038;726924;0;733221;
100;Random;Compact matrix;Simplified;10.0;2489;4071;1480.5295;951471;0;958056;
125;Random;Compact matrix;Simplified;10.0;2798;4023;1843.4386;1209382;0;1216207;
150;Random;Compact matrix;Simplified;10.0;4153;4148;2201.3386;1444115;0;1452428;
175;Random;Compact matrix;Simplified;10.0;4818;4105;2559.1355;1669223;0;1678149;
200;Random;Compact matrix;Simplified;10.0;3405;4551;2919.3281;1915701;0;1923659;
25;Random;Circle;Simplified;10.0;2102;5031;820.1943;253951;0;261096;
50;Random;Circle;Simplified;10.0;2449;4819;2497.1852;522018;0;529394;
75;Random;Circle;Simplified;10.0;2679;3861;4712.2572;772304;0;778865;
100;Random;Circle;Simplified;10.0;2688;3437;7364.8206;1027246;0;1033378;
125;Random;Circle;Simplified;10.0;2324;4032;10378.9589;1300830;0;1307190;
150;Random;Circle;Simplified;10.0;3080;4343;13749.9408;1564105;0;1571586;
175;Random;Circle;Simplified;10.0;5633;4873;17409.5472;1814558;0;1825127;
200;Random;Circle;Simplified;10.0;5769;4506;21354.6121;2068798;0;2079075;
25;Random;Linear;Simplified;10.0;2099;6432;1716.3032;249720;0;258260;
50;Random;Linear;Simplified;10.0;2832;4643;4921.5528;493270;0;500792;
75;Random;Linear;Simplified;10.0;2464;4037;9095.4059;733146;0;739675;
100;Random;Linear;Simplified;10.0;2886;4048;14059.5356;968672;0;975612;
125;Random;Linear;Simplified;10.0;2780;4123;19707.0454;1207874;0;1214854;
150;Random;Linear;Simplified;10.0;3201;5047;25963.4863;1449915;0;1458168;
175;Random;Linear;Simplified;10.0;4733;4330;32756.8440;1687603;0;1696678;
200;Random;Linear;Simplified;10.0;4187;4391;40074.5239;1929402;0;1938008;
25;Random;Regular matrix;Hungarian;10.0;2064;4625;377.6117;251346;0;258049;
50;Random;Regular matrix;Hungarian;10.0;2435;4032;812.6885;486420;0;492962;
75;Random;Regular matrix;Hungarian;10.0;2656;4457;1157.9306;710751;0;717882;
100;Random;Regular matrix;Hungarian;10.0;2687;3609;1551.7079;967477;1;973778;
125;Random;Regular matrix;Hungarian;10.0;2528;4299;1925.3095;1203883;0;1210833;
150;Random;Regular matrix;Hungarian;10.0;4286;4433;2281.3835;1441416;0;1450163;
175;Random;Regular matrix;Hungarian;10.0;6829;4212;2661.7190;1677554;0;1688600;
200;Random;Regular matrix;Hungarian;10.0;6402;4942;3034.3039;1900107;0;1911454;
25;Random;Circle;Hungarian;10.0;2100;4638;817.0618;256940;0;263690;
50;Random;Circle;Hungarian;10.0;2641;4047;2483.6930;510906;0;517627;
75;Random;Circle;Hungarian;10.0;2447;3857;4693.5479;784525;0;790899;
100;Random;Circle;Hungarian;10.0;2706;4080;7344.8804;1034741;0;1041599;
125;Random;Circle;Hungarian;10.0;2191;4228;10362.4695;1276533;0;1282957;
150;Random;Circle;Hungarian;10.0;3607;3848;13720.0360;1538383;0;1545849;
175;Random;Circle;Hungarian;10.0;5050;5978;17382.0192;1795650;0;1806688;
200;Random;Circle;Hungarian;10.0;5607;5178;21324.2349;2051955;0;2062743;
25;Random;Linear;Hungarian;10.0;2098;5232;1716.1633;249162;0;256503;
50;Random;Linear;Hungarian;10.0;2651;4835;4921.1842;482075;0;489608;
75;Random;Linear;Hungarian;10.0;2489;3846;9095.1419;717692;0;724158;
100;Random;Linear;Hungarian;10.0;2697;4029;14059.1805;959276;0;966065;
125;Random;Linear;Hungarian;10.0;2573;3819;19706.6789;1211007;0;1217404;
150;Random;Linear;Hungarian;10.0;3681;4476;25963.1818;1448363;1;1456560;
175;Random;Linear;Hungarian;10.0;5878;5625;32756.3813;1678426;0;1689933;
#
