numUAVs;GroundFormation;AirFormation;TakeoffStrategy;altitude;setupTime;calculationTime;totalDistance;takeoffTime;numberCollisions;fullTime
25;Random;Circle;Hungarian;5.0;2100;5845;817.0618;37508;0;45474;
25;Random;Circle;Simplified;5.0;2145;6819;820.1939;38623;1;47612;
50;Random;Circle;Simplified;5.0;2452;3622;2497.1852;58725;7;64804;
75;Random;Circle;Hungarian;5.0;3060;4030;4693.5479;78277;0;85376;
75;Random;Circle;Simplified;5.0;2270;4447;4712.2572;78896;9;85641;
100;Random;Circle;Hungarian;5.0;2887;3837;7344.8804;98510;0;105242;
100;Random;Circle;Simplified;5.0;2458;4881;7364.8206;98716;0;106089;
125;Random;Circle;Hungarian;5.0;2544;5244;10362.4695;118306;0;126098;
125;Random;Circle;Simplified;5.0;2523;3864;10378.9589;118182;20;124574;
150;Random;Circle;Hungarian;5.0;2963;4107;13720.0360;137588;0;144801;
175;Random;Circle;Hungarian;5.0;5605;4957;17382.0192;157790;0;168406;
175;Random;Circle;Simplified;5.0;5695;4311;17409.5472;158570;33;168580;
