numUAVs;GroundFormation;AirFormation;TakeoffStrategy;altitude;setupTime;calculationTime;totalDistance;takeoffTime;numberCollisions;fullTime
25;Random;Circle;Hungarian;5.0;2108;4617;817.0618;37892;0;44632;
25;Random;Circle;Simplified;5.0;2315;5023;820.1943;38104;1;45454;
50;Random;Circle;Hungarian;5.0;2452;4426;2483.6930;57539;0;64425;
50;Random;Circle;Simplified;5.0;2646;4238;2497.1852;58089;8;64980;
75;Random;Circle;Hungarian;5.0;2723;4221;4693.5479;77704;0;84721;
75;Random;Circle;Simplified;5.0;2439;3828;4712.2572;78936;15;85230;
100;Random;Circle;Hungarian;5.0;2479;3861;7344.8804;97728;0;104103;
100;Random;Circle;Simplified;5.0;2497;4448;7364.8206;98311;0;105283;
125;Random;Circle;Hungarian;5.0;2715;4292;10362.4695;118139;0;125153;
125;Random;Circle;Simplified;5.0;2541;3846;10378.9589;117776;19;124167;
150;Random;Circle;Simplified;5.0;3416;4055;13749.9408;138520;33;145996;
175;Random;Circle;Hungarian;5.0;5296;4923;17382.0192;158143;0;168368;
175;Random;Circle;Simplified;5.0;3813;4409;17409.5472;158736;33;166963;
