numUAVs;GroundFormation;AirFormation;TakeoffStrategy;altitude;setupTime;calculationTime;totalDistance;takeoffTime;numberCollisions;fullTime
25;Random;Linear;Hungarian;5.0;2132;10218;1716.1633;77122;9;89502;
25;Random;Linear;Simplified;5.0;2105;4011;1716.3032;77718;10;83847;
50;Random;Linear;Hungarian;5.0;2445;4638;4921.1842;139503;39;146616;
50;Random;Linear;Simplified;5.0;2645;4846;4921.5528;139133;42;146629;
75;Random;Linear;Hungarian;5.0;2481;4421;9095.1419;197764;89;204682;
75;Random;Linear;Simplified;5.0;2661;4235;9095.4059;197575;82;204586;
100;Random;Linear;Hungarian;5.0;2499;4249;14059.1805;261954;132;268752;
100;Random;Linear;Simplified;5.0;2493;3825;14059.5356;261576;172;267898;
125;Random;Linear;Hungarian;5.0;2704;4071;19706.6789;322219;199;329027;
125;Random;Linear;Simplified;5.0;2560;4419;19707.0454;322059;212;329042;
150;Random;Linear;Simplified;5.0;3888;4120;25963.4863;385584;306;393600;
175;Random;Linear;Hungarian;5.0;5694;5288;32756.3813;445586;432;456579;
175;Random;Linear;Simplified;5.0;4329;4144;32756.8440;445221;377;453729;
