numUAVs;GroundFormation;AirFormation;TakeoffStrategy;altitude;setupTime;calculationTime;totalDistance;takeoffTime;numberCollisions;fullTime
25;Random;Regular matrix;Hungarian;5.0;2115;4615;377.6117;31318;0;38057;
25;Random;Regular matrix;Simplified;5.0;2243;4213;381.6381;30878;0;37337;
50;Random;Regular matrix;Hungarian;5.0;2236;3220;812.6885;39902;0;45372;
50;Random;Regular matrix;Simplified;5.0;2246;3830;819.8127;39294;1;45425;
75;Random;Regular matrix;Hungarian;5.0;2718;3838;1157.9306;42306;0;48879;
75;Random;Regular matrix;Simplified;5.0;2260;3838;1169.2025;42474;5;48596;
100;Random;Regular matrix;Hungarian;5.0;2682;3640;1551.7079;47483;0;53808;
100;Random;Regular matrix;Simplified;5.0;2518;4092;1560.9325;46934;0;53690;
125;Random;Regular matrix;Simplified;5.0;2725;3844;1936.4379;50356;3;56942;
150;Random;Regular matrix;Hungarian;5.0;3870;4230;2281.3835;53111;0;61215;
150;Random;Regular matrix;Simplified;5.0;2960;3917;2294.2198;53392;6;60289;
175;Random;Regular matrix;Hungarian;5.0;3907;4781;2661.7190;55688;0;64406;
175;Random;Regular matrix;Simplified;5.0;5314;4473;2675.8935;56425;24;66276;
200;Random;Regular matrix;Hungarian;5.0;5727;4605;3034.3039;57571;0;67904;
